song_id,song_name,track_number,album_id
3167048,She,8,37316
9183107,Know Your Enemy,12,1270970
3853302,Coming Clean / Minority,5,37308
3853298,Welcome to Paradise,3,37308
3543588,16,7,28095
3543592,Paper Lanterns,11,28095
160459,"Blood, Sex and Booze",2,15346
156633,Deadbeat Holiday,7,1300389
160459,"Blood, Sex and Booze",2,1300389
5195065,Welcome to Paradise,1,105418
591079,I Want to Be on T.V.,2,66540
3853229,Nice Guys Finish Last,14,37304
9183107,Know Your Enemy,3,759815
2992995,Governator,3,15341
591079,I Want to Be on T.V.,7,1323111
4383467,Homecoming,19,957377
2486564,Paper Lanterns,11,37316
3618734,She,12,30912
5126050,She,14,902931
4383453,St. Jimmy,6,1194424
4383453,St. Jimmy,5,957377
4700494,Holiday / Boulevard of Broken Dreams,3,375252
160459,"Blood, Sex and Booze",5,1194106
161277,She,6,481214
2975482,Waiting,5,60863
9183107,Know Your Enemy,3,544802
591079,I Want to Be on T.V.,7,148996
3853362,Stuck with Me,5,37309
3609997,Poprocks & Coke,15,892479
9183107,Know Your Enemy,3,617010
3521021,Maria,2,727155
404121,Paper Lanterns,11,435716
3167061,Paper Lanterns,21,37316
22608816,Boulevard of Broken Dreams (DJ Vojo remix),10,2165998
5080889,Welcome to Paradise,7,1201810
3853477,She,14,37313
4082003,Paper Lanterns,13,979142
1464442,All by Myself / Dominated Love Slave,9,542111
5357038,Welcome to Paradise,2,104419
5357038,Welcome to Paradise,2,656344
3853367,She,10,37309
3853370,Paper Lanterns,13,37309
9183107,Know Your Enemy,3,544793
404121,Paper Lanterns,11,31965
5080889,Welcome to Paradise,7,1167157
3521030,She,11,727155
404121,Paper Lanterns,11,436093
591079,I Want to Be on T.V.,7,8237
9183107,Know Your Enemy,3,537241
3521033,Waiting,14,727155
338058,Poprocks & Coke,1,1074298
9183107,Know Your Enemy,1,1179476
338058,Poprocks & Coke,2,554824
338057,Maria,1,554824
3853219,Welcome to Paradise,4,37304
591079,I Want to Be on T.V.,7,1221342
4081997,She,7,979142
338064,J.A.R. (Jason Andrew Relva),1,24028
160459,"Blood, Sex and Booze",2,1433808
156633,Deadbeat Holiday,7,1433808
3167056,Welcome to Paradise,16,37316
3853538,Brain Stew,4,37318
591079,I Want to Be on T.V.,2,15358
3546514,DUI,7,28199
9183107,Know Your Enemy,1,527978
9183107,Know Your Enemy,1,569382
5823556,J.A.R.,5,941254
5823555,Having a Blast,4,941254
404121,Paper Lanterns,11,554643
5553837,She,2,980546
4082005,All by Myself,15,979142
3543600,I Want to Be Alone,19,28095
3543603,Paper Lanterns,22,28095
2549903,Maria,1,946663
9183107,Know Your Enemy,3,658522
9183107,Know Your Enemy,3,537235
5823563,J.A.R.,12,941254
3853181,Paper Lanterns,14,37303
5080889,Welcome to Paradise,7,86585
1324588,Honorable Mention,1,46215
6621938,I’ve Got All This Ringing in My Ears and None on My Fingers,14,490045
1324596,Parker Lewis Can't Lose (but I'm Going to Give It My Best Shot),9,46215
8585692,The (Shipped) Gold Standard,6,477002
8585691,Headfirst Slide Into Cooperstown on a Bad Bet,5,477002
10698724,I Don't Care (acoustic version),2,672259
11772083,America's Suitehearts (acoustic version),2,1039912
3874977,XO,13,369876
11772074,"What a Catch, Donnie",8,477502
10698724,I Don't Care (acoustic version),19,768905
11772083,America's Suitehearts (acoustic version),17,768905
11772084,"What a Catch, Donnie (acoustic version)",18,768905
3874977,XO,13,46214
8585691,Headfirst Slide Into Cooperstown on a Bad Bet,5,768905
11772074,"What a Catch, Donnie",8,768905
8585692,The (Shipped) Gold Standard,6,579060
8585691,Headfirst Slide Into Cooperstown on a Bad Bet,5,579060
11772074,"What a Catch, Donnie",8,579060
5290217,"Dance, Dance (Tommie Sunshine's Brooklyn Fire Re-Touch)",3,99306
5716552,"It's Not a Side Effect of the Cocaine, I Think It Must Be Love",2,136068
3874977,XO,13,172183
11772074,"What a Catch, Donnie",8,477002
20941813,"Dance, Dance",15,1967527
6621938,I’ve Got All This Ringing in My Ears and None on My Fingers,14,1967527
3874977,XO,13,93038
3874977,XO,13,140487
2493336,Yule Shoot Your Eye Out,6,173076
3874977,XO,13,172184
6069082,The Only Difference Between Martyrdom and Suicide Is Press Coverage (Tommie Sunshine Brooklyn Fire remix),2,182365
21939778,Nicotine,15,2084834
6297651,This Is Halloween,5,1115329
5834411,The Only Difference Between Martyrdom and Suicide Is Press Coverage (Tommie Sunshine Brooklyn Fire remix),2,150117
6069082,The Only Difference Between Martyrdom and Suicide Is Press Coverage (Tommie Sunshine Brooklyn Fire remix),2,201187
6069082,The Only Difference Between Martyrdom and Suicide Is Press Coverage (Tommie Sunshine Brooklyn Fire remix),2,302933
4266301,Stable Song,11,672875
570755,Amputations,8,45956
570751,Your Bruise,4,45956
22604591,Blacking Out the Friction,11,2165477
22604594,All Is Full of Love,14,2165477
4266296,Your Heart Is an Empty Room,6,232592
9460811,Brothers on a Hotel Bed,17,550487
3233770,Timeless Melody,19,928280
3233765,Why You'd Want to Live Here,14,928280
3233763,Amputations,12,928280
4266293,Summer Skin,3,1252132
4266296,Your Heart Is an Empty Room,6,1252132
4800010,Soul Meets Body (iTunes Originals version),2,268454
4266293,Summer Skin,3,60386
3233752,Intro,1,928280
2859791,Sleep Spent,7,954539
1316423,Company Calls Epilogue (alternate),5,27079
4266293,Summer Skin,3,673863
831309,State Street Residential,14,44971
831307,Tomorrow,12,44971
16188123,Welcome to Daytrotter,1,386077
16188124,Long Division,2,386077
4522789,Blacking Out the Friction / All Is Full of Love,11,927334
4522758,Lightness,9,928630
8787337,State Street Residential,5,477823
5774583,Lightness,3,984767
4517517,Blacking Out the Friction (demo),2,458113
5824432,Lightness,8,985104
5644393,Summer Skin,9,128701
6099265,Summer Skin,5,1020707
